编码,名称,年份,季度,日期,ROE,净利润率,净利润同比增长率,资产负债率,现金流比率,市净率,市净率相对值,股价
sh.600000,浦发银行,2023,1,2023-05-29,0.022428,0.335905,-0.175894,0.918561,2.151022,0.361791,0.057945949530055954,7.41
sh.600004,白云机场,2023,1,2023-05-29,0.002599,0.037631,1.663373,0.351828,0.185285,1.930917,0.6571624569758027,14.06
sh.600006,东风汽车,2023,1,2023-05-29,0.0116,0.038156,-0.167351,0.524322,-0.485093,1.34591,0.18983594325690104,5.58
sh.600007,中国国贸,2023,1,2023-05-29,0.03434,0.333534,0.193827,0.281022,0.582878,2.046494,0.3408944467273402,19.23
sh.600008,首创环保,2023,1,2023-05-29,0.01151,0.099002,0.012594,0.618504,-0.057631,1.188445,0.11558865710284853,3.08
sh.600009,上海机场,2023,1,2023-05-29,-0.002511,-0.026575,0.873357,0.418154,-0.015337,2.967288,0.1367185309969287,47.11
sh.600010,包钢股份,2023,1,2023-05-29,0.005527,0.003477,-0.752638,0.58589,0.017888,1.573528,0.27810667033963715,1.83
sh.600011,华能国际,2023,1,2023-05-29,0.019061,0.037751,3.215955,0.712954,0.094048,3.357474,0.9272741316955203,10.29
sh.600012,皖通高速,2023,1,2023-05-29,0.0378,0.418022,0.18239,0.355195,0.899025,1.423533,0.771828144594079,10.63
sh.600015,华夏银行,2023,1,2023-05-29,0.018701,0.258122,0.041907,0.923411,1.560972,0.346918,0.17118883956390055,5.79
sh.600016,民生银行,2023,1,2023-05-29,0.023422,0.389471,0.036399,0.917366,6.145025,0.331495,0.12734957179401618,3.94
sh.600017,日照港,2023,1,2023-05-29,0.016084,0.12947,-0.107586,0.528389,0.266799,0.674404,0.326024250379992,3.03
sh.600018,上港集团,2023,1,2023-05-29,0.031126,0.488916,-0.348578,0.322002,0.404009,1.065406,0.007698789643021551,5.3
sh.600019,宝钢股份,2023,1,2023-05-29,0.009433,0.027752,-0.499958,0.44573,-0.067724,0.683057,0.1682893807464045,6.03
sh.600020,中原高速,2023,1,2023-05-29,0.029035,0.320633,1.73583,0.71788,0.486941,0.73071,0.5109324963416962,3.49
sh.600021,上海电力,2023,1,2023-05-29,0.015619,0.083623,1.244505,0.716089,0.127415,2.031597,0.542697666989814,11.86
sh.600022,山东钢铁,2023,1,2023-05-29,-0.014261,-0.011645,-1.323451,0.544093,-0.071895,0.715171,0.10441773323987281,1.44
sh.600023,浙能电力,2023,1,2023-05-29,0.01629,0.060131,1.039807,0.479455,-0.07261,1.106285,0.910395566035361,5.18
sh.600025,华能水电,2023,1,2023-05-29,0.011796,0.245035,0.152792,0.5713,0.730197,2.470831,0.5722811041790374,7.61
sh.600026,中远海能,2023,1,2023-05-29,0.034105,0.210842,10.177508,0.493609,0.327169,1.65322,0.3759992853239974,11.33
sh.600027,华电国际,2023,1,2023-05-29,0.018386,0.036892,1.372212,0.664314,0.076451,1.947218,0.8647212633706526,7.12
sh.600028,中国石化,2023,1,2023-05-29,0.025245,0.028893,-0.14335,0.522556,-0.023248,0.967238,0.743307101942291,6.51
sh.600029,南方航空,2023,1,2023-05-29,-0.047322,-0.050624,0.620181,0.827083,0.25864,2.92922,0.7213637101117424,6.33
sh.600030,中信证券,2023,1,2023-05-29,0.021179,0.366834,0.038987,0.817246,-0.143669,1.232542,0.10949903280216093,20.35
sh.600031,三一重工,2023,1,2023-05-29,0.023008,0.087788,-0.048636,0.576093,-0.088274,1.932848,0.027572467803987765,15.13
sh.600032,浙江新能,2023,1,2023-05-29,0.013924,0.18448,-0.310111,0.692216,0.358887,3.489947,0.5508776880712909,12.71
sh.600033,福建高速,2023,1,2023-05-29,0.021262,0.415596,0.028824,0.198248,0.42742,0.778816,0.5206603394801311,3.12
sh.600035,楚天高速,2023,1,2023-05-29,0.046208,0.481506,0.42869,0.534261,0.617148,0.835189,0.6397532217672157,4.07
sh.600036,招商银行,2023,1,2023-05-29,0.040319,0.432786,0.080338,0.905815,-0.139216,0.957933,0.07947868622062285,32.69
sh.600037,歌华有线,2023,1,2023-05-29,-0.004471,-0.111384,-1.598232,0.188914,0.166003,0.887852,0.10787131009845638,8.32
sh.600038,中直股份,2023,1,2023-05-29,0.001465,0.002803,0.599501,0.635499,0.605343,2.359044,0.08596262409966904,39.08
sh.600039,四川路桥,2023,1,2023-05-29,0.06322,0.089003,0.300646,0.764998,-0.267145,1.980016,0.5781019901089229,14.21
sh.600048,保利发展,2023,1,2023-05-29,0.0138,0.099248,0.025958,0.778535,-0.354454,0.815432,0.11663680024822212,12.94
sh.600050,中国联通,2023,1,2023-05-29,0.014563,0.053263,0.119153,0.458776,0.178579,0.975675,0.4949241933565094,4.81
sh.600051,宁波联合,2023,1,2023-05-29,0.003441,-0.002576,0.738396,0.378239,-0.285665,0.695838,0.10254855474330975,7.31
sh.600052,东望时代,2023,1,2023-05-29,-0.00459,-0.230311,0.455495,0.152042,0.393591,1.293178,0.8177899153624599,4.45
sh.600053,九鼎投资,2023,1,2023-05-29,-0.007942,-1.518468,-1.417253,0.144111,-2.914531,1.932016,0.001872583727615244,12.91
sh.600054,黄山旅游,2023,1,2023-05-29,0.015683,0.209174,1.817146,0.168111,0.388888,2.230925,0.7031003157067249,12.7
sh.600055,万东医疗,2023,1,2023-05-29,0.006587,0.116327,0.169044,0.100647,-0.174937,3.253057,0.15966142911477407,21.45
sh.600056,中国医药,2023,1,2023-05-29,0.024544,0.025584,0.065629,0.650506,-0.119054,1.854184,0.2605549639309939,13.74
sh.600057,厦门象屿,2023,1,2023-05-29,0.031709,0.005873,0.070898,0.734792,-0.199826,1.422802,0.4157881074928508,9.66
sh.600058,五矿发展,2023,1,2023-05-29,0.006093,0.001995,-0.743568,0.788346,-0.148337,2.086589,0.37582136586338294,9.43
sh.600059,古越龙山,2023,1,2023-05-29,0.010658,0.116078,-0.137157,0.138176,-0.168112,1.595803,0.07089405896274031,9.72
sh.600060,海信视像,2023,1,2023-05-29,0.034727,0.06034,0.59184,0.412736,0.163554,1.568834,0.8380303813487571,21.83
sh.600061,国投资本,2023,1,2023-05-29,0.016745,2.199845,3.97073,0.813786,55.924151,0.95013,0.16248527646642658,7.25
sh.600062,华润双鹤,2023,1,2023-05-29,0.036458,0.138975,0.102082,0.24649,0.042547,1.88207,0.27523680352710217,18.78
sh.600063,皖维高新,2023,1,2023-05-29,0.016593,0.057475,-0.70152,0.410792,0.030891,1.409086,0.11167439846477385,5.17
sh.600064,南京高科,2023,1,2023-05-29,0.037979,0.534786,-0.049361,0.507272,-0.319691,0.668379,0.011482214944017024,6.65
sh.600066,宇通客车,2023,1,2023-05-29,0.008276,0.035252,2.071161,0.497163,0.115058,1.936581,0.5086613978338107,12.82
